Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
Hyundai Mobis,"Hyundai Mobis is a public South Korean car parts company. Founded as Hyundai Precision & Industries Corporation in 1977, the company forms the parts and service"" arm for the South Korean automakers Hyundai Motor Company",32972,-0.7,2617.8,34541,-3.1,29499,Motor Vehicles and Parts,310,323,Young-Deuk Lim,Transportation,Motor Vehicles and Parts,"Seoul, South Korea",http://www.mobis.co.kr,6,23596,23596,7.6,11.1
Aisin Seiki,"Aisin Seiki Co., Ltd., also known as Aisin, is a Japanese corporation that develops and produces components and systems for the automotive industry. Aisin is a Fortune Global 500 company, ranked 329 on the 2018 rankings. Aisin is 30% owned by the Toyota Group of companies.",32879,21.6,1168.9,29964,39.9,99389,Motor Vehicles and Parts,393,324,Yasumori Ihara,Transportation,Motor Vehicles and Parts,"Kariya, Japan",http://www.aisin.com,16,11098,11098,3.9,10.5
Rite Aid,Rite Aid Corporation is a drugstore chain in the United States. The company ranked No. 94 in the 2018 Fortune 500 list of the largest United States corporations by total revenue.,32845,6.9,4.1,11594,-97.6,70430,Food and Drug Stores,340,325,John T. Standley,Health Care,Food and Drug Stores,"Camp Hill, PA",http://www.riteaid.com,19,614,614,,0.7
Shaanxi Yanchang Petroleum (Group),"Shaanxi Yanchang Petroleum Group is a Chinese conglomerate mainly engaged in the exploration, production, transportation, and sale of petroleum and natural gas, and in addition the production and sales of petrochemical products. Founded in 1905, it is the fourth largest oil producer in the country",32652,2.8,-22.6,45552,,134134,"Mining, Crude-Oil Production",325,326,He Jiuchang,Energy,"Mining, Crude-Oil Production","Xi'an, China",http://www.sxycpc.com,5,14063,14063,,-0.2
DZ Bank,"DZ Bank AG is the second largest bank in Germany by asset size and the central institution for more than 900 co-operative banks and their 12,000 branch offices.",32636,4.6,1623.4,537278,3.4,28264,Banks: Commercial and Savings,334,327,Wolfgang Kirsch,Financial Sector,Banks: Commercial and Savings,"Frankfurt, Germany",http://www.dzbank.com,23,21160,21160,0.3,7.7
UniCredit Group,"UniCredit S.p.A. is an Italian global banking and financial services company. Its network spans 50 markets in 17 countries, with more than 8,500 branches and over 147,000 employees.",32539,-5.9,-13038,906489,-793.7,117659,Banks: Commercial and Savings,300,328,Jean Pierre Mustier,Financial Sector,Banks: Commercial and Savings,"Milan, Italy",http://www.unicreditgroup.eu,22,41484,41484,-1.4,-31.4
China Everbright Group,"China Everbright Group is a Chinese state-owned enterprise. Everbright Group was a subsidiary of Central Huijin Investment. The Ministry of Finance of China owned the rest of the stake, which Central Huijin acquired on 8 December 2014.",32461,-1.3,1877.8,627701,-11.2,61400,Banks: Commercial and Savings,313,329,Tang Shuangning,Financial Sector,Banks: Commercial and Savings,"Beijing, China",http://www.ebchina.com,3,15661,15661,0.3,12
Daiwa House Industry,"Daiwa House Industry Co., Ltd. is Japan's largest homebuilder, specializing in prefabricated houses. The company also is engaged in the construction of factories, shopping centers, health care facilities, the management and operation of resort hotels, golf courses and fitness clubs.",32421,21.9,1861.5,31917,115.8,60539,"Engineering, Construction",402,330,Takeo Higuchi,Engineering & Construction,"Engineering, Construction","Osaka, Japan",http://www.daiwahouse.co.jp,13,10761,10761,5.8,17.3
Allianz,"Allianz SE is a European financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management.",122196,-0.6,7611.5,932091,3.7,140253,Insurance: Property and Casualty (Stock),34,34,Oliver Bate,Financial Sector,Insurance: Property and Casualty (Stock),"Munich, Germany",http://www.allianz.com,23,71020,71020,0.8,10.7
Nike,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.",32376,5.8,3760,21396,14.9,70700,Apparel,343,331,Mark G. Parker,Wholesalers & Retailers,Apparel,"Beaverton, OR",http://www.nike.com,11,12258,12258,17.6,30.7
Iberdrola,"Iberdrola is a Spanish public multinational electric utility company based in Bilbao, Basque Country. Iberdrola has a workforce of around 31,330 employees in dozens of countries on four continents serving around 31.67 million customers.",32308,-7.3,2991.3,112536,11.4,28389,Utilities,295,332,Jose Ignacio Sanchez Galan,Energy,Utilities,"Bilbao, Spain",http://www.iberdrola.com,13,38695,38695,2.7,7.7
Commonwealth Bank of Australia,"The Commonwealth Bank of Australia is an Australian multinational bank with businesses across New Zealand, Asia, the United States and the United Kingdom.",32287,-14.3,6712.9,694565,-10.9,45129,Banks: Commercial and Savings,269,333,Ian M. Narev,Financial Sector,Banks: Commercial and Savings,"Sydney, Australia",http://www.commbank.com.au,13,44816,44816,1,15
Sinomach,"China National Machinery Industry Corporation is a Chinese conglomerate with businesses in tool making, construction equipment, agricultural equipment, and infrastructure construction. In two particular areas of construction engineering, the company is among the top in terms of revenue from international projects.",32237,-8.2,502,39142,-34.5,115390,Industrial Machinery,293,334,Ren Hongbin,Industrial Sector,Industrial Machinery,"Beijing, China",http://www.sinomach.com.cn,7,8930,8930,1.3,5.6
Fresenius,"Fresenius SE & Co. KGaA is a German health care company based in Bad Homburg, Germany. The Fresenius Group provides products and services for dialysis, hospitals as well as inpatient and outpatient medical care.",32161,4.9,1761.6,48984,16.9,232873,Health Care: Medical Facilities,341,335,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany",http://www.fresenius.com,8,13186,13186,3.6,13.4
China Aerospace Science & Technology,"The China Aerospace Science and Technology Corporation is the main contractor for the Chinese space program. It is state-owned and has a number of subordinate entities which design, develop and manufacture a range of spacecraft, launch vehicles, strategic and tactical missile systems, and ground equipment.",32094,5,1996.2,55721,7.7,170357,Aerospace and Defense,344,336,Lei Fanpei,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.spacechina.com,3,21440,21440,3.6,9.3
Shaanxi Coal & Chemical Industry,"Shaanxi Coal and Chemical Industry Group Co., Ltd. is a coal company based in Xi'an, China. As of 2011, it was the third largest coal company in China. As of 2012, the Group owns or has shares in nearly 60 enterprises with total of 136,000 employees. Its main subsidiary is Shaanxi Coal Industry.",31926,5.3,-254.4,64151,,123559,"Mining, Crude-Oil Production",347,337,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","Xi'an, China",http://www.shccig.com,3,5769,5769,-0.4,-4.4
China Evergrande Group,"The Evergrande Group or the Evergrande Real Estate Group is China's second-largest property developer by sales. It is based in southern China's Guangdong Province, and sells apartments mostly to upper and middle-income dwellers. As of 2018, it is the world's most valuable real estate company.",31828,50.2,2368.8,194384,-4.3,89250,Real estate,496,338,Hui Kayan,Financial Sector,Real estate,"Guangzhou, China",http://www.evergrande.com,2,22618,22618,1.2,10.5
Jiangxi Copper,"Jiangxi Copper is the largest copper producer in Mainland China. Its operations include copper mining, milling, smelting and refining to produce copper-related products, including pyrite concentrates, sulfuric acid and electrolytic gold and silver.",31680,0.4,20.4,16108,,25460,"Mining, Crude-Oil Production",328,339,Li Baomin,Energy,"Mining, Crude-Oil Production","Guixi, China",http://www.jxcc.com,5,2967,2967,0.1,0.7
Sompo Holdings,"Sompo Japan Nipponkoa Holdings, Inc. is a Japanese insurance holdings company. It is listed on the Nikkei 225. The firm is considered one of three top insurers in Japan.",31559,16.4,1535.7,107092,15.5,47430,Insurance: Property and Casualty (Stock),388,340,Kengo Sakurada,Financial Sector,Insurance: Property and Casualty (Stock),"Tokyo, Japan",http://www.sompo-hd.com,21,8424,8424,1.4,18.2
Cardinal Health,"Cardinal Health, Inc. is a Fortune Global 500 health care services company, and the 14th highest revenue generating company in the United States. Its headquarters is based in Dublin, Ohio.",121546,18.5,1427,34122,17.4,37300,Wholesalers: Health Care,50,35,George S. Barrett,Wholesalers & Retailers,Wholesalers: Health Care,"Dublin, OH",http://www.cardinalhealth.com,20,6554,6554,4.2,21.8
China Poly Group,China Poly Group Corporation is a state owned Chinese business group among 102 central state owned enterprises under the supervision of State-owned Assets Supervision and Administration Commission of the State Council.,31508,18.1,744.1,95657,-11.4,76425,Real estate,401,341,Zhang Zhengao,Financial Sector,Real estate,"Beijing, China",http://www.poly.com.cn,3,7676,7676,0.8,9.7
Chubb,"Chubb Limited, incorporated in Zurich, Switzerland, is the parent company of Chubb, a global provider of insurance products covering property and casualty, accident and health, reinsurance, and life insurance.",31469,65.7,4135,159786,45.9,31000,Insurance: Property and Casualty (Stock),0,342,Evan G. Greenberg,Financial Sector,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.chubb.com,1,48275,48275,2.6,8.6
Zhejiang Geely Holding Group,"Geely is a privately held global automotive group headquartered in the city of Hangzhou, in south-east China's Zhejiang province. The group was established in 1986 and entered the automotive industry in 1997 with its Geely Auto brand.",31430,19.5,1265.7,29749,341.6,60712,Motor Vehicles and Parts,410,343,Li Shufu,Transportation,Motor Vehicles and Parts,"Hangzhou, China",http://www.geely.com,6,5896,5896,4.3,21.5
Exelon,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois. It generates revenues of approximately $33.5 billion and employs approximately 34,000 people.",31360,6.5,1134,114904,-50,34396,Utilities,355,344,Christopher M. Crane,Energy,Utilities,"Chicago, IL",http://www.exeloncorp.com,14,25837,25837,1,4.4
General Dynamics,The General Dynamics F-16 Fighting Falcon is a single-engine supersonic multirole fighter aircraft originally developed by General Dynamics for the United States Air Force.,31353,-0.4,2955,32872,-0.3,98800,Aerospace and Defense,330,345,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",http://www.generaldynamics.com,17,10976,10976,9,26.9
BT Group,"BT Group plc is a British multinational telecommunications holding company headquartered in London, United Kingdom. It has operations in around 180 countries and is the largest provider of fixed-line, broadband and mobile services in the UK, and also provides subscription television and IT services.",31333,9.3,2484.6,52972,-36.2,106400,Telecommunications,369,346,Gavin E. Patterson,Telecommunications,Telecommunications,"London, Britain",http://www.btplc.com,23,10420,10420,4.7,23.8
Canon,"Canon Inc. is a Japanese multinational corporation specializing in the manufacture of imaging and optical products, including cameras, camcorders, photocopiers, steppers, computer printers and medical equipment. It's headquartered in Tokyo, Japan.",31271,-0.4,1385,44062,-23.9,197673,"Computers, Office Equipment",332,347,Fujio Mitarai,Technology,"Computers, Office Equipment","Tokyo, Japan",http://www.canon.com,23,23865,23865,3.1,5.8
Wuchan Zhongda Group,"Wuchan Zhongda Group Co.,Ltd., together with its subsidiaries, engages in the supply chain integration, finance, and advanced industry businesses in China and internationally. The company’s supply chain integration services include metal materials primarily iron sand; and automobile, chemical engineering, energy, rubber, and cross-border e-ecommerce. It also provides financial services comprising finance lease, future good, platform transaction, asset management, pawn, insurance agency, and other finance services; fund treasurer management services; and real estate financing services that include asset operation, agency construction, and aged and property services, as well as industrial ",31185,7.3,324.3,11018,47.2,18150,Trading,359,348,Wang Tingge,Wholesalers & Retailers,Trading,"Hangzhou, China",http://www.wuchanzhongda.cn,7,2900,2900,2.9,11.2
Mitsubishi Chemical Holdings,"Mitsubishi Chemical Holdings Corporation, is a Japanese company formed in October 2005 from the merger of Mitsubishi Chemical Corporation and Mitsubishi Pharma Corporation. The company is based in Tokyo and is managed by Hitoshi Ochi. It is one of the core Mitsubishi companies.",31158,5.6,1442.1,40064,237.1,69291,Chemicals,324,349,Hitoshi Ochi,Industrial Sector,Chemicals,"Tokyo, Japan",http://www.mitsubishichem-hd.co.jp,23,9796,9796,3.6,14.7
BHP Billiton,"BHP, formerly known as BHP Billiton, is the trading entity of BHP Group Limited and BHP Group plc, an Anglo-Australian multinational mining, metals and petroleum dual-listed public company headquartered in Melbourne, Victoria, Australia.",30912,-40.9,-6385,118953,-434.3,26827,"Mining, Crude-Oil Production",168,350,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production","Melbourne, Australia",http://www.bhpbilliton.com,23,54290,54290,-5.4,-11.8
Costco,"Costco Wholesale Corporation, doing business as Costco, is an American multinational corporation which operates a chain of membership-only warehouse clubs.",118719,2.2,2350,33163,-1.1,172000,General Merchandisers,38,36,W. Craig Jelinek,Wholesalers & Retailers,General Merchandisers,"Issaquah, WA",http://www.costco.com,23,12079,12079,7.1,19.5
Toronto-Dominion Bank,"The Toronto-Dominion Bank is a Canadian multinational banking and financial services corporation headquartered in Toronto, Ontario.",30855,2.3,6646.1,878268,4.5,81233,Banks: Commercial and Savings,350,351,Bharat B. Masrani,Financial Sector,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.td.com,18,54148,54148,0.8,12.3
Subaru,"The Subaru World Rally Team was Subaru's World Rally Championship team. It used a distinctive blue with yellow color scheme that is a throwback to the sponsorship deal with State Express 555, a BAT cigarette brand popular in Asia. 555 logos were found on Subaru cars from 1993 to 2003.",30696,14,2605.8,24794,-28.4,36668,Motor Vehicles and Parts,395,352,Yasuyuki Yoshinaga,Transportation,Motor Vehicles and Parts,"Tokyo, Japan",http://www.subaru.co.jp,15,13285,13285,10.5,19.6
Bridgestone,"Bridgestone Corporation is a multinational auto and truck parts manufacturer founded in 1931 by Shojiro Ishibashi in the city of Kurume, Fukuoka, Japan.",30678,-2,2441.3,31901,3.9,143616,Motor Vehicles and Parts,333,353,Masaaki Tsuya,Transportation,Motor Vehicles and Parts,"Tokyo, Japan",http://www.bridgestone.com,23,20268,20268,7.7,12
Credit Suisse Group,"Credit Suisse Group AG is a Swiss multinational investment bank and financial services company founded and based in Switzerland. Headquartered in Zurich, it maintains offices in all major financial centers around the world.",30588,-13,-2750.7,806950,,47170,Banks: Commercial and Savings,292,354,Tidjane Thiam,Financial Sector,Banks: Commercial and Savings,"Zurich, Switzerland",http://www.credit-suisse.com,23,41237,41237,-0.3,-6.7
China Aerospace Science & Industry,"The China Aerospace Science & Industry Corporation Limited is a large state-owned hi-tech company which is under the direct administration of the central government, is the main contractor for the Chinese space program.",30582,9.7,1443.7,36999,-1.8,148682,Aerospace and Defense,381,355,Gao Hongwei,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.casic.com.cn,2,13654,13654,3.9,10.6
JFE Holdings,"JFE Holdings, Inc. is a corporation headquartered in Tokyo, Japan. It was formed in 2002 by the merger of NKK and Kawasaki Steel Corporation and owns JFE Steel, JFE Engineering and Japan Marine United. JFE is from Japan, Fe and Engineering.",30539,6.8,627,38920,123.6,60439,Metals,371,356,Eiji Hayashida,Materials,Metals,"Tokyo, Japan",http://www.jfe-holdings.co.jp,15,15632,15632,1.6,4
Mizuho Financial Group,"Mizuho Financial Group, Inc., abbreviated as MHFG, or simply called Mizuho, is a banking holding company headquartered in the  district of Chiyoda, Tokyo, Japan.",30390,13.5,5570.1,1799736,-0.3,59179,Banks: Commercial and Savings,399,357,Yasuhiro Sato,Financial Sector,Banks: Commercial and Savings,"Tokyo, Japan",http://www.mizuho-fg.co.jp,17,62843,62843,0.3,8.9
Gilead Sciences,"Gilead Sciences, Inc., commonly known as Gilead Sciences or Gilead, is an American biotechnology company that researches, develops and commercializes drugs.",30390,-6.9,13501,56977,-25.4,9000,Pharmaceuticals,316,358,John F. Milligan,Health Care,Pharmaceuticals,"Foster City, CA",http://www.gilead.com,3,18887,18887,23.7,71.5
CHS,"CHS Inc. is a Fortune 100 business owned by United States agricultural cooperatives, farmers, ranchers, and thousands of preferred stock holders.",30347,-12.2,424.2,17318,-45.7,12157,Food Production,299,359,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",http://www.chsinc.com,10,7852,7852,2.4,5.4
Bharat Petroleum,"Bharat Petroleum Corporation Limited is a Government of India controlled Maharatna oil and gas company headquartered in Mumbai, Maharashtra.The Corporation operates two large refineries of the country located in Kochi and Mumbai.",30316,4.2,1300.5,16801,6.7,13395,Petroleum Refining,358,360,D. Rajkumar,Energy,Petroleum Refining,"Mumbai, India",http://www.bharatpetroleum.in,14,4747,4747,7.7,27.4
Walgreens Boots Alliance,"Walgreens Boots Alliance, Inc. is an American holding company headquartered in Deerfield, Illinois, that owns Walgreens, Boots, and a number of pharmaceutical manufacturing, wholesale, and distribution companies.",117351,13.4,4173,72688,-1.1,300000,Food and Drug Stores,47,37,Stefano Pessina,Health Care,Food and Drug Stores,"Deerfield, IL",http://www.walgreensbootsalliance.com,23,29880,29880,5.7,14
3M,"The 3M Company, formerly known as the Minnesota Mining and Manufacturing Company, is an American multinational conglomerate corporation operating in the fields of industry, worker safety, health care, and consumer goods.",30109,-0.5,5050,32906,4.5,91584,Miscellaneous,348,361,Inge G. Thulin,Industrial Sector,Miscellaneous,"St. Paul, MN",http://www.3m.com,23,10298,10298,15.3,49
China Electronics,"The China Electronics Technology Group Corporation was established in 2002, as a People's Republic of China's state-owned company.",30010,-4.8,321.9,36575,82.6,144659,"Electronics, Electrical Equip.",329,362,Rui Xiaowu,Technology,"Electronics, Electrical Equip.","Beijing, China",http://www.cec.com.cn,7,4831,4831,0.9,6.7
CRH,CRH plc is an international group of diversified building materials businesses which manufacture and supply of a wide range of products for the construction industry.,29973,14.3,1374.6,33320,71.2,86778,"Building Materials, Glass",411,363,Albert Manifold,Materials,"Building Materials, Glass","Dublin, Ireland",http://www.crh.com,14,14654,14654,4.1,9.4
China State Shipbuilding,"The China State Shipbuilding Corporation is one of the two largest shipbuilding conglomerates in China, the other being the China Shipbuilding Industry Corporation.",29877,-1,367.6,40773,-16.1,68025,Industrial Machinery,349,364,Wu Qiang,Industrial Sector,Industrial Machinery,"Beijing, China",http://www.cssc.net.cn,2,9164,9164,0.9,4
Jiangsu Shagang Group,"Jiangsu Shagang Group Company Limited, Jiangsu Shagang Group, Shagang Group or Shasteel is located in Zhangjiagang, Jiangsu, China, an Economic Development Zone of the Yangtze River.",29862,-8.8,352.1,23720,148.5,35133,Metals,314,365,Shen Wenrong,Materials,Metals,"Zhangjiagang, China",http://www.shasteel.cn,9,5584,5584,1.5,6.3
China COSCO Shipping,"China COSCO Shipping Corporation Limited, also referred to as the China COSCO Shipping Group or China COSCO Shipping, is a Chinese business conglomerate and state-owned enterprise headquartered in Shanghai.",29743,29.5,1489,94792,30.1,106478,Shipping,465,366,Xu Lirong,Transportation,Shipping,"Shanghai, China",http://www.coscoshipping.com,10,24148,24148,1.6,6.2
Mazda Motor,"Mazda Motor Corporation, commonly referred to as simply Mazda, is a Japanese multinational automaker based in Fuch, Aki District, Hiroshima Prefecture, Japan.",29665,4.5,865.5,22660,-22.7,48849,Motor Vehicles and Parts,373,367,Masamichi Kogai,Transportation,Motor Vehicles and Parts,"Hiroshima, Japan",http://www.mazda.com,23,8455,8455,3.8,10.2
State Power Investment,State Power Investment Corporation Limited is one of the five major electricity generation company of the Mainland China. It was the successor of China Power Investment Corporation after it was merged with the State Nuclear Power Technology Corporation in 2015.,29493,-3.7,436.6,126068,50.9,127343,Energy,342,368,Wang Binghua,Energy,Energy,"Beijing, China",http://www.spic.com.cn,6,8477,8477,0.3,5.2
Taiwan Semiconductor Manufacturing,"Taiwan Semiconductor Manufacturing Company, Limited, also known as Taiwan Semiconductor, is the world's largest dedicated independent semiconductor foundry, with its headquarters and main operations located in the Hsinchu Science and Industrial Park in Hsinchu, Taiwan.",29388,10.6,10283.7,58535,7.8,46968,Semiconductors and Other Electronic Components,403,369,Mark Liu,Technology,Semiconductors and Other Electronic Components,"Hsinchu, Taiwan",http://www.tsmc.com,3,42174,42174,17.6,24.4
Vale,"Vale S.A. is a Brazilian multinational corporation engaged in metals and mining and one of the largest logistics operators in Brazil.Vale, formerly Companhia Vale do Rio Doce, is the largest producer of iron ore and nickel in the world.",29363,14.7,3982,99014,,73062,"Mining, Crude-Oil Production",417,370,Fabio Schvartsman,Energy,"Mining, Crude-Oil Production","Rio de Janeiro, Brazil",http://www.vale.com,11,39042,39042,4,10.2
Agricultural Bank of China,"Agricultural Bank of China, also known as AgBank, is one of the Big Four"" banks in the People's Republic of China. It was founded in 1951",117275,-12.1,27687.8,2816039,-3.6,501368,Banks: Commercial and Savings,29,38,Zhao Huan,Financial Sector,Banks: Commercial and Savings,"Beijing, China",http://www.abchina.com,18,189682,189682,1,14.6
Time Warner,"Time Warner Cable was an American cable television company. Before it was purchased by Charter Communications on May 18, 2016, it was ranked the second largest cable company in the United States by revenue behind only Comcast, operating in 29 states.",29318,4.3,3926,65966,2.4,25000,Entertainment,376,371,Jeffrey L. Bewkes,Mass and Media Communication,Entertainment,"New York, NY",http://www.timewarner.com,16,24335,24335,6,16.1
Shandong Energy Group,"Shandong Energy Group Company is a state owned coal-mining company headquartered in Jinan, Shandong, China. It is among the seven largest Chinese coal companies. The group was created in March 2011 by merging six existing coal mining companies.",29299,16.6,39.2,39887,,179689,"Mining, Crude-Oil Production",426,372,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China",http://www.snjt.com,6,6575,6575,0.1,0.6
Suzuki Motor,"Suzuki Motor Corporation is a Japanese multinational corporation headquartered in Minami-ku, Hamamatsu. Suzuki manufactures automobiles, four-wheel drive vehicles, motorcycles, all-terrain vehicles, outboard marine engines, wheelchairs and a variety of other small internal combustion engines.",29252,10.4,1476.2,27969,51.9,62992,Motor Vehicles and Parts,405,373,Toshihiro Suzuki,Transportation,Motor Vehicles and Parts,"Hamamatsu, Japan",http://www.globalsuzuki.com,23,10318,10318,5.3,14.3
LyondellBasell Industries,"LyondellBasell Industries N.V. is a public multinational chemical company with American and European roots, incorporated in the Netherlands, with U.S. operations headquarters in Houston, Texas, and global operations in London, UK.",29183,-10.9,3836,23442,-14.3,13000,Chemicals,315,374,Bhavesh V. Patel,Industrial Sector,Chemicals,"Rotterdam, Netherlands",http://www.lyb.com,10,6048,6048,16.4,63.4
Royal Philips,"Koninklijke Philips N.V. is a Dutch multinational technology company headquartered in Amsterdam, one of the largest electronics companies in the world, currently focused in the area of healthcare and lighting.",29003,1.1,1601.3,34068,123.8,114731,Medical Products and Equipment,368,375,Frans A. van Houten,Health Care,Medical Products and Equipment,"Amsterdam, Netherlands",http://www.philips.com,23,13289,13289,4.7,12
Charter Communications,"Charter Communications, Inc. is an American telecommunications and mass media company that offers its services to consumers and businesses under the branding of Spectrum.",29003,197.3,3522,149067,,91500,Telecommunications,0,376,Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, CT",http://www.charter.com,1,40139,40139,2.4,8.8
Medtronic,Medtronic plc is the world's largest medical device company that generates the majority of its sales and profits from the U.S. healthcare system but is headquartered on the island of Ireland for tax purposes.,28833,42.3,3538,99782,32.3,98017,Medical Products and Equipment,0,377,Omar S. Ishrak,Health Care,Medical Products and Equipment,"Dublin, Ireland",http://www.medtronic.com,1,52063,52063,3.5,6.8
Northwestern Mutual,"The Northwestern Mutual is an American financial services mutual organization based in Milwaukee. The financial security company provides consultation on wealth and asset income protection, education planning, retirement planning, investment advisory services, trust and private client services, estate planning and business planning.",28799,2.4,818,250441,0.4,5646,"Insurance: Life, Health (Mutual)",377,378,John E. Schlifske,Financial Sector,"Insurance: Life, Health (Mutual)","Milwaukee, WI",http://www.northwesternmutual.com,23,20226,20226,0.3,4
L’Oreal,"Loreal S.A. is a French personal care company headquartered in Clichy, Hauts-de-Seine with a registered office in Paris. It is the world's largest cosmetics company and has developed activities in the field concentrating on hair colour, skin care, sun protection, make-up, perfume, hair care and men's skincare.",28572,2,3434.5,37577,-6.1,89331,Household and Personal Products,378,379,Jean-Paul Agon,Wholesalers & Retailers,Household and Personal Products,"Clichy, France",http://www.loreal.com,23,25840,25840,9.1,13.3
Dalian Wanda Group,"Wanda Group, or Dalian Wanda, is a Chinese multinational conglomerate based in Beijing. It is a private property developer and owner of Wanda Cinemas and the Hoyts Group, as well as a majority shareholder of AMC Theatres.",28483,4,110.3,152701,-95.5,155905,Real estate,385,380,Wang Jianlin,Financial Sector,Real estate,"Beijing, China",http://www.wanda-group.com,2,17237,17237,0.1,0.6
Ping An Insurance,"Ping An Insurance known also as Ping An of China, full name Ping An Insurance Company of China, Ltd. is a Chinese holding conglomerate whose subsidiaries mainly deal with insurance, banking, and financial services.",116581,5.7,9392,802490,8.9,318588,"Insurance: Life, Health (stock)",41,39,Ma Mingzhe,Financial Sector,"Insurance: Life, Health (stock)","Shenzhen, China",http://www.pingan.com,8,55177,55177,1.2,17
Medipal Holdings,"As a holding company, MEDIPAL HOLDINGS controls, administers and supports the operating activities of companies in which it holds shares in the Prescription Pharmaceutical Wholesale Business;the Cosmetics, Daily Necessities and OTC Pharmaceutical Wholesale Business; and the Animal Health Products and Food Processing Raw Materials Wholesale Business, and conducts business development for the MEDIPAL Group.",28277,12.1,267.7,13696,4.5,15745,Wholesalers: Health Care,424,381,Shuichi Watanabe,Wholesalers & Retailers,Wholesalers: Health Care,"Tokyo, Japan",http://www.medipal.co.jp,15,3607,3607,2,7.4
China Huadian,"China Huadian Corporation is one of the five largest state-owned power generation enterprises in China, administrated by SASAC for the State Council of the People's Republic of China, engaging in production and supply of electricity and heat, and the development of power-related primary energy.",28204,-10.3,360.6,112115,-70.3,107000,Utilities,331,382,Zhao Jianguo,Energy,Utilities,"Beijing, China",http://www.chd.com.cn,6,7947,7947,0.3,4.5
AIA Group,"AIA Group Limited, known as AIA, is the largest public listed pan-Asian life insurance group. It offers insurance and financial services, writing life insurance for individuals and businesses, as well as accident and health insurance, and offers retirement planning, and wealth management services.",28196,21.1,4164,185074,54.7,20000,"Insurance: Life, Health (stock)",456,383,Ng Keng Hooi,Financial Sector,"Insurance: Life, Health (stock)","Hong Kong, China",http://www.aia.com,3,34984,34984,2.2,11.9
Hindustan Petroleum,"Hindustan Petroleum Corporation Limited is an Indian oil and natural gas company with its headquarters at Mumbai, Maharashtra. It has about 25% market-share in India among public-sector companies and a strong marketing infrastructure.",28166,-2.3,1228.1,12370,63.4,10422,Petroleum Refining,367,384,Mukesh Kumar Surana,Energy,Petroleum Refining,"Mumbai, India",http://www.hindustanpetroleum.com,14,3245,3245,9.9,37.8
Migros Group,"Migros is Switzerland's largest retail company, its largest supermarket chain and largest employer. It is also one of the forty largest retailers in the world. It is structured in the form of a cooperative society, with more than two million members.",28155,-1.2,693.3,62536,-16.7,77704,Food and Drug Stores,372,385,Herbert Bolliger,Health Care,Food and Drug Stores,"Zurich, Switzerland",http://www.migros.ch,23,17132,17132,1.1,4
Air France-KLM Group,"Air France‚ KLM is a Franco-Dutch airline holding company incorporated under French law with its headquarters at Charles de Gaulle Airport in Tremblay France, near Paris.",27920,-3.4,875.8,24185,569.1,82175,Airlines,363,386,Jean-Marc Janaillac,Transportation,Airlines,"Paris, France",http://www.airfranceklm.com,21,1354,1354,3.6,64.7
Compass Group,"Compass Group Plc is a British multinational contract foodservice company headquartered in Chertsey, Surrey. It is the largest contract foodservice company in the world.",27837,2.5,1408.5,13693,5,527180,Food Services,387,387,Richard J. Cousins,"Hotels, Restaurants & Leisure",Food Services,"Chertsey, Britain",http://www.compass-group.com,16,3254,3254,10.3,43.3
Schlumberger,"Schlumberger Limited is the world's largest oilfield services company. Schlumberger employs approximately 100,000 people representing more than 140 nationalities working in more than 85 countries.",27810,-21.6,-1687,77956,-181.4,100000,Oil & Gas Equipment Services,287,388,Paal Kibsgaard,Energy,Oil & Gas Equipment Services,"Houston, TX",http://www.slb.com,17,41078,41078,-2.2,-4.1
Kansai Electric Power,"The Kansai Electric Power Co., Inc., also known as Kanden, is an electric utility with its operational area of Kansai region, Japan.The Kansai region is Japan‚ second-largest industrial area, and in normal times, its most nuclear-reliant.",27792,2.8,1299.3,61513,10.8,32666,Utilities,391,389,Shigeki Iwane,Energy,Utilities,"Osaka, Japan",http://www.kepco.co.jp,23,11205,11205,2.1,11.6
